id,sessionid,report,systime,simstate,netopname,netopcode,roaming,nettype,callstate,datastate,dataact,datarx,datatx,nstartid,nstopid,ngsm,numts,nlte,nrssi,nregcells,tech,mcc,mnc,lactac,nodeid,cid,pscpci,rssi,rsrq,rssnr,slev,gps,accur,lat,long,clat,clong,band,arfcn
77,2,0,1610791840983,5,Jio 4G,405857,0,13,0,2,0,4440347,2112021,-1,-1,0,0,6,-77,1,3,405,857,63,13532,37,461,-71,-7,168,4,0,-1,-1.0,-1.0,-1.0,-1.0,1800,1444
78,2,1,1610791841815,5,Jio 4G,405857,0,13,0,2,0,4440347,2112021,-1,-1,0,0,6,-77,1,3,405,857,63,13532,37,461,-71,-7,168,4,0,-1,-1.0,-1.0,-1.0,-1.0,1800,1444
79,2,2,1610791842813,5,Jio 4G,405857,0,13,0,2,0,4440571,2112237,-1,-1,0,0,6,-78,1,3,405,857,63,13532,37,461,-74,-8,168,4,0,-1,-1.0,-1.0,-1.0,-1.0,1800,1444
80,2,3,1610791843812,5,Jio 4G,405857,0,13,0,2,3,4440571,2112237,-1,-1,0,0,6,-78,1,3,405,857,63,13532,37,461,-74,-8,174,4,0,-1,-1.0,-1.0,-1.0,-1.0,1800,1444
81,2,4,1610791844821,5,Jio 4G,405857,0,13,0,2,0,4440571,2112237,-1,-1,0,0,6,-78,1,3,405,857,63,13532,37,461,-74,-8,174,4,0,-1,-1.0,-1.0,-1.0,-1.0,1800,1444
82,2,5,1610791845810,5,Jio 4G,405857,0,13,0,2,0,4440723,2112309,-1,-1,0,0,6,-79,1,3,405,857,63,13532,37,461,-75,-9,116,4,0,-1,-1.0,-1.0,-1.0,-1.0,1800,1444
83,2,6,1610791846811,5,Jio 4G,405857,0,13,0,2,3,4440795,2112381,-1,-1,0,0,6,-79,1,3,405,857,63,13532,37,461,-75,-9,116,4,0,-1,-1.0,-1.0,-1.0,-1.0,1800,1444
84,2,7,1610791847809,5,Jio 4G,405857,0,13,0,2,0,4440795,2112381,-1,-1,0,0,6,-79,1,3,405,857,63,13532,37,461,-75,-9,178,4,0,-1,-1.0,-1.0,-1.0,-1.0,1800,1444
85,2,8,1610791848815,5,Jio 4G,405857,0,13,0,2,0,4441424,2114582,-1,-1,0,0,1,-84,1,3,405,857,63,13532,18,254,-85,-11,178,4,0,-1,-1.0,-1.0,-1.0,-1.0,2300,38750
86,2,9,1610791848446,5,Jio 4G,405857,0,13,0,2,3,4442053,2114654,-1,-1,0,0,1,-84,1,3,405,857,63,13532,18,254,-85,-11,178,4,0,-1,-1.0,-1.0,-1.0,-1.0,2300,38750
87,2,10,1610791849809,5,Jio 4G,405857,0,13,0,2,0,4442053,2114654,-1,-1,0,0,3,-82,1,3,405,857,63,13532,18,254,-85,-15,178,4,0,-1,-1.0,-1.0,-1.0,-1.0,2300,38750
88,2,11,1610791851250,5,Jio 4G,405857,0,13,0,2,0,4442053,2114654,-1,-1,0,0,3,-82,1,3,405,857,63,13532,18,254,-85,-15,84,4,0,-1,-1.0,-1.0,-1.0,-1.0,2300,38750
89,2,12,1610791852812,5,Jio 4G,405857,0,13,0,2,3,4442125,2114726,-1,-1,0,0,4,-86,1,3,405,857,63,13532,18,254,-87,-14,84,4,0,-1,-1.0,-1.0,-1.0,-1.0,2300,38750
90,2,13,1610791853814,5,Jio 4G,405857,0,13,0,2,0,4442125,2114726,-1,-1,0,0,4,-86,1,3,405,857,63,13532,18,254,-87,-14,88,4,0,-1,-1.0,-1.0,-1.0,-1.0,2300,38750
91,2,14,1610791854820,5,Jio 4G,405857,0,13,0,2,0,4449046,2116506,-1,-1,0,0,1,-85,1,3,405,857,63,13532,18,254,-83,-13,88,4,0,-1,-1.0,-1.0,-1.0,-1.0,2300,38750
92,2,15,1610791855809,5,Jio 4G,405857,0,13,0,2,3,4453340,2117771,-1,-1,0,0,1,-85,1,3,405,857,63,13532,18,254,-83,-13,8,4,0,-1,-1.0,-1.0,-1.0,-1.0,2300,38750
93,2,16,1610791856813,5,Jio 4G,405857,0,13,0,2,3,4477254,2123407,-1,-1,0,0,1,-85,1,3,405,857,63,13532,18,254,-83,-13,8,4,1,9,22.36311745,69.83602492,-1.0,-1.0,2300,38750
94,2,17,1610791857839,5,Jio 4G,405857,0,13,0,2,3,4478323,2124950,-1,-1,0,0,2,-85,1,3,405,857,63,13532,18,254,-84,-16,8,4,1,9,22.36310301,69.83606441,-1.0,-1.0,2300,38750
95,2,18,1610791858811,5,Jio 4G,405857,0,13,0,2,3,4483006,2126633,-1,-1,0,0,2,-85,1,3,405,857,63,13532,18,254,-84,-16,8,4,1,10,22.36307547,69.83608733,-1.0,-1.0,2300,38750
96,2,19,1610791859811,5,Jio 4G,405857,0,13,0,2,3,4483006,2126633,-1,-1,0,0,2,-85,1,3,405,857,63,13532,18,254,-84,-16,8,4,1,9,22.3630919,69.83606732,-1.0,-1.0,2300,38750
97,2,20,1610791860811,5,Jio 4G,405857,0,13,0,2,0,4483006,2126633,-1,-1,0,0,1,-82,1,3,405,857,63,13532,18,254,-84,-16,4,4,1,4,22.36308595,69.83605353,-1.0,-1.0,2300,38750
98,2,21,1610791861811,5,Jio 4G,405857,0,13,0,2,0,4483006,2126633,-1,-1,0,0,1,-82,1,3,405,857,63,13532,18,254,-84,-16,4,4,1,4,22.36305781,69.83606224,-1.0,-1.0,2300,38750
99,2,22,1610791863294,5,Jio 4G,405857,0,13,0,2,0,4483006,2126633,-1,-1,0,0,4,-85,1,3,405,857,63,5482,16,36,-84,-13,20,4,1,4,22.36303824,69.83605499,-1.0,-1.0,2300,38750
100,2,23,1610791864809,5,Jio 4G,405857,0,13,0,2,0,4483006,2126633,-1,-1,0,0,4,-85,1,3,405,857,63,5482,16,36,-84,-13,20,4,1,4,22.36302755,69.83603771,-1.0,-1.0,2300,38750
101,2,24,1610791865810,5,Jio 4G,405857,0,13,0,2,3,4483316,2126957,-1,-1,0,0,4,-85,1,3,405,857,63,5482,16,36,-82,-12,16,4,1,4,22.36302691,69.8360251,-1.0,-1.0,2300,38750
102,2,25,1610791866811,5,Jio 4G,405857,0,13,0,2,3,4483893,2127555,-1,-1,0,0,4,-85,1,3,405,857,63,5482,16,36,-82,-12,16,4,1,4,22.3630262,69.83602264,-1.0,-1.0,2300,38750
103,2,26,1610791867813,5,Jio 4G,405857,0,13,0,2,3,4483893,2127555,-1,-1,0,0,4,-83,1,3,405,857,63,5482,16,36,-84,-13,16,4,1,4,22.36302921,69.83600802,-1.0,-1.0,2300,38750
104,2,27,1610791868809,5,Jio 4G,405857,0,13,0,2,0,4483893,2127555,-1,-1,0,0,4,-83,1,3,405,857,63,5482,16,36,-84,-13,16,4,1,4,22.36303487,69.83600163,-1.0,-1.0,2300,38750
105,2,28,1610791869822,5,Jio 4G,405857,0,13,0,2,0,4483893,2127555,-1,-1,0,0,4,-85,1,3,405,857,63,5482,16,36,-84,-13,28,4,1,4,22.36304298,69.83599309,-1.0,-1.0,2300,38750
