report;sys_time;sim_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;rssi_strongest;tech;mcc;mnc;lac_tac;node_id;cid;psc_pci;rssi;rsrq;rssnr;slev;gps;accuracy;lat;long;band;arfcn;bts_psc_pci;bts_band;bts_arfcn;site_name;site_lat;site_long;cell_name;azimuth;height;tilt_mech;tilt_el;
0;20210116154040;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4440347;2112021;0;0;6;-77;LTE;405;857;63;13532;37;461;-71;-7;168;4;0;-1;-1.0;-1.0;1800;1444;null;null;null;null;;;null;null;null;null;null;
1;20210116154041;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4440347;2112021;0;0;6;-77;LTE;405;857;63;13532;37;461;-71;-7;168;4;0;-1;-1.0;-1.0;1800;1444;null;null;null;null;;;null;null;null;null;null;
2;20210116154042;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4440571;2112237;0;0;6;-78;LTE;405;857;63;13532;37;461;-74;-8;168;4;0;-1;-1.0;-1.0;1800;1444;null;null;null;null;;;null;null;null;null;null;
3;20210116154043;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4440571;2112237;0;0;6;-78;LTE;405;857;63;13532;37;461;-74;-8;174;4;0;-1;-1.0;-1.0;1800;1444;null;null;null;null;;;null;null;null;null;null;
4;20210116154044;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4440571;2112237;0;0;6;-78;LTE;405;857;63;13532;37;461;-74;-8;174;4;0;-1;-1.0;-1.0;1800;1444;null;null;null;null;;;null;null;null;null;null;
5;20210116154045;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4440723;2112309;0;0;6;-79;LTE;405;857;63;13532;37;461;-75;-9;116;4;0;-1;-1.0;-1.0;1800;1444;null;null;null;null;;;null;null;null;null;null;
6;20210116154046;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4440795;2112381;0;0;6;-79;LTE;405;857;63;13532;37;461;-75;-9;116;4;0;-1;-1.0;-1.0;1800;1444;null;null;null;null;;;null;null;null;null;null;
7;20210116154047;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4440795;2112381;0;0;6;-79;LTE;405;857;63;13532;37;461;-75;-9;178;4;0;-1;-1.0;-1.0;1800;1444;null;null;null;null;;;null;null;null;null;null;
9;20210116154048;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4442053;2114654;0;0;1;-84;LTE;405;857;63;13532;18;254;-85;-11;178;4;0;-1;-1.0;-1.0;2300;38750;null;null;null;null;;;null;null;null;null;null;
8;20210116154048;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4441424;2114582;0;0;1;-84;LTE;405;857;63;13532;18;254;-85;-11;178;4;0;-1;-1.0;-1.0;2300;38750;null;null;null;null;;;null;null;null;null;null;
10;20210116154049;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4442053;2114654;0;0;3;-82;LTE;405;857;63;13532;18;254;-85;-15;178;4;0;-1;-1.0;-1.0;2300;38750;null;null;null;null;;;null;null;null;null;null;
11;20210116154051;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4442053;2114654;0;0;3;-82;LTE;405;857;63;13532;18;254;-85;-15;84;4;0;-1;-1.0;-1.0;2300;38750;null;null;null;null;;;null;null;null;null;null;
12;20210116154052;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4442125;2114726;0;0;4;-86;LTE;405;857;63;13532;18;254;-87;-14;84;4;0;-1;-1.0;-1.0;2300;38750;null;null;null;null;;;null;null;null;null;null;
13;20210116154053;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4442125;2114726;0;0;4;-86;LTE;405;857;63;13532;18;254;-87;-14;88;4;0;-1;-1.0;-1.0;2300;38750;null;null;null;null;;;null;null;null;null;null;
14;20210116154054;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4449046;2116506;0;0;1;-85;LTE;405;857;63;13532;18;254;-83;-13;88;4;0;-1;-1.0;-1.0;2300;38750;null;null;null;null;;;null;null;null;null;null;
15;20210116154055;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4453340;2117771;0;0;1;-85;LTE;405;857;63;13532;18;254;-83;-13;8;4;0;-1;-1.0;-1.0;2300;38750;null;null;null;null;;;null;null;null;null;null;
16;20210116154056;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4477254;2123407;0;0;1;-85;LTE;405;857;63;13532;18;254;-83;-13;8;4;1;9;22.36311745;69.83602492;2300;38750;null;null;null;null;;;null;null;null;null;null;
17;20210116154057;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4478323;2124950;0;0;2;-85;LTE;405;857;63;13532;18;254;-84;-16;8;4;1;9;22.36310301;69.83606441;2300;38750;null;null;null;null;;;null;null;null;null;null;
18;20210116154058;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4483006;2126633;0;0;2;-85;LTE;405;857;63;13532;18;254;-84;-16;8;4;1;10;22.36307547;69.83608733;2300;38750;null;null;null;null;;;null;null;null;null;null;
19;20210116154059;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4483006;2126633;0;0;2;-85;LTE;405;857;63;13532;18;254;-84;-16;8;4;1;9;22.3630919;69.83606732;2300;38750;null;null;null;null;;;null;null;null;null;null;
20;20210116154100;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4483006;2126633;0;0;1;-82;LTE;405;857;63;13532;18;254;-84;-16;4;4;1;4;22.36308595;69.83605353;2300;38750;null;null;null;null;;;null;null;null;null;null;
21;20210116154101;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4483006;2126633;0;0;1;-82;LTE;405;857;63;13532;18;254;-84;-16;4;4;1;4;22.36305781;69.83606224;2300;38750;null;null;null;null;;;null;null;null;null;null;
22;20210116154103;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4483006;2126633;0;0;4;-85;LTE;405;857;63;5482;16;36;-84;-13;20;4;1;4;22.36303824;69.83605499;2300;38750;null;null;null;null;;;null;null;null;null;null;
23;20210116154104;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4483006;2126633;0;0;4;-85;LTE;405;857;63;5482;16;36;-84;-13;20;4;1;4;22.36302755;69.83603771;2300;38750;null;null;null;null;;;null;null;null;null;null;
24;20210116154105;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4483316;2126957;0;0;4;-85;LTE;405;857;63;5482;16;36;-82;-12;16;4;1;4;22.36302691;69.8360251;2300;38750;null;null;null;null;;;null;null;null;null;null;
25;20210116154106;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4483893;2127555;0;0;4;-85;LTE;405;857;63;5482;16;36;-82;-12;16;4;1;4;22.3630262;69.83602264;2300;38750;null;null;null;null;;;null;null;null;null;null;
26;20210116154107;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4483893;2127555;0;0;4;-83;LTE;405;857;63;5482;16;36;-84;-13;16;4;1;4;22.36302921;69.83600802;2300;38750;null;null;null;null;;;null;null;null;null;null;
27;20210116154108;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4483893;2127555;0;0;4;-83;LTE;405;857;63;5482;16;36;-84;-13;16;4;1;4;22.36303487;69.83600163;2300;38750;null;null;null;null;;;null;null;null;null;null;
28;20210116154109;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4483893;2127555;0;0;4;-85;LTE;405;857;63;5482;16;36;-84;-13;28;4;1;4;22.36304298;69.83599309;2300;38750;null;null;null;null;;;null;null;null;null;null;
29;20210116154110;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4483893;2127555;0;0;4;-85;LTE;405;857;63;5482;16;36;-84;-13;28;4;1;4;22.36305163;69.83598573;2300;38750;null;null;null;null;;;null;null;null;null;null;
30;20210116154111;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4483893;2127555;0;0;4;-85;LTE;405;857;63;5482;16;36;-84;-13;28;4;1;4;22.36306048;69.83597897;2300;38750;null;null;null;null;;;null;null;null;null;null;
31;20210116154112;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4483893;2127555;0;0;5;-85;LTE;405;857;63;5482;16;36;-86;-15;2;4;1;4;22.36306988;69.83597225;2300;38750;null;null;null;null;;;null;null;null;null;null;
32;20210116154113;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4483893;2127555;0;0;5;-85;LTE;405;857;63;5482;16;36;-86;-15;2;4;1;4;22.36308031;69.83596722;2300;38750;null;null;null;null;;;null;null;null;null;null;
33;20210116154114;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4555989;2136176;0;0;5;-85;LTE;405;857;63;5482;16;36;-86;-15;2;4;1;4;22.36309229;69.8359631;2300;38750;null;null;null;null;;;null;null;null;null;null;
34;20210116154115;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4801461;2156289;0;0;5;-88;LTE;405;857;63;6378;18;26;-87;-12;2;4;1;4;22.36311456;69.83596014;2300;38750;null;null;null;null;;;null;null;null;null;null;
35;20210116154116;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4801461;2156289;0;0;5;-88;LTE;405;857;63;6378;18;26;-87;-12;2;4;1;4;22.36312475;69.83595982;2300;38750;null;null;null;null;;;null;null;null;null;null;
36;20210116154117;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4801461;2156289;0;0;5;-88;LTE;405;857;63;6378;18;26;-87;-12;2;4;1;4;22.3631366;69.83595869;2300;38750;null;null;null;null;;;null;null;null;null;null;
37;20210116154119;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4802063;2156724;0;0;5;-90;LTE;405;857;63;5318;16;351;-84;-12;2;4;1;4;22.36314818;69.83595938;2300;38750;null;null;null;null;;;null;null;null;null;null;
