report;sys_time;sim_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;rssi_strongest;tech;mcc;mnc;lac_tac;node_id;cid;psc_pci;rssi;rsrq;rssnr;slev;gps;accuracy;lat;long;band;arfcn;bts_psc_pci;bts_band;bts_arfcn;site_name;site_lat;site_long;cell_name;azimuth;height;tilt_mech;tilt_el;
0;20210118164857;READY;Jio 4G;405874;0;LTE;IDLE;CONNECTED;NONE;237074090;20998204;0;0;1;-93;LTE;405;874;31;302;21;147;-91;-10;5;1;1;25;19.24049482215196;72.98166811466217;2300;38900;null;null;null;null;;;null;null;null;null;null;
1;20210118164858;READY;Jio 4G;405874;0;LTE;IDLE;CONNECTED;NONE;237074090;20998204;0;0;0;2147483647;LTE;405;874;31;302;21;147;-91;-10;8;1;1;25;19.24049482215196;72.98166811466217;2300;38900;null;null;null;null;;;null;null;null;null;null;
2;20210118164859;READY;Jio 4G;405874;0;LTE;IDLE;CONNECTED;NONE;237074378;20998456;0;0;0;2147483647;LTE;405;874;31;302;21;147;-91;-10;8;1;1;25;19.24049482215196;72.98166811466217;2300;38900;null;null;null;null;;;null;null;null;null;null;
3;20210118164900;READY;Jio 4G;405874;0;LTE;IDLE;CONNECTED;INOUT;237075340;20999596;0;0;0;2147483647;LTE;405;874;31;302;23;15;-97;-10;0;1;1;25;19.24050714354962;72.98167825676501;2300;38750;null;null;null;null;;;null;null;null;null;null;
4;20210118164901;READY;Jio 4G;405874;0;LTE;IDLE;CONNECTED;INOUT;237075874;20999680;0;0;0;2147483647;LTE;405;874;31;302;23;15;-97;-10;0;1;1;25;19.24051192123443;72.98167867586017;2300;38750;null;null;null;null;;;null;null;null;null;null;
5;20210118164902;READY;Jio 4G;405874;0;LTE;IDLE;CONNECTED;INOUT;237075874;20999680;0;0;1;-99;LTE;405;874;31;302;23;15;-99;-10;0;1;1;25;19.24051443580538;72.98167465254664;2300;38750;null;null;null;null;;;null;null;null;null;null;
6;20210118164903;READY;Jio 4G;405874;0;LTE;IDLE;CONNECTED;NONE;237075874;20999680;0;0;1;-99;LTE;405;874;31;302;23;15;-99;-10;0;1;1;26;19.2405168665573;72.98167448490858;2300;38750;null;null;null;null;;;null;null;null;null;null;
7;20210118164904;READY;Jio 4G;405874;0;LTE;IDLE;CONNECTED;NONE;237075874;20999680;0;0;1;-99;LTE;405;874;31;302;23;15;-99;-10;0;1;1;24;19.2405168665573;72.98167448490858;2300;38750;null;null;null;null;;;null;null;null;null;null;
8;20210118164905;READY;Jio 4G;405874;0;LTE;IDLE;CONNECTED;NONE;237075874;20999680;0;0;2;-100;LTE;405;874;31;302;23;15;-97;-12;-2;1;1;24;19.2405168665573;72.98167448490858;2300;38750;null;null;null;null;;;null;null;null;null;null;
9;20210118164906;READY;Jio 4G;405874;0;LTE;IDLE;CONNECTED;NONE;237075874;20999680;0;0;2;-100;LTE;405;874;31;302;23;15;-97;-12;-2;1;1;26;19.2405168665573;72.98167448490858;2300;38750;null;null;null;null;;;null;null;null;null;null;
